Test Accuracy: 0.2912
Total samples: 4502
Correct predictions: 1311

Model Configuration:
  Embedding size: 128
  Hidden size: 256
  Encoder layers: 3
  Decoder layers: 3
  Cell type: lstm
  Beam size: 5

source,prediction,target,correct
ank,अंक,अंक,True
anka,अंका,अंक,False
ankit,अंकीत,अंकित,False
anakon,अनककों,अंकों,False
ankhon,अंखों,अंकों,False
ankon,अंकों,अंकों,True
angkor,एंगकोर,अंकोर,False
ankor,अंकोर,अंकोर,True
angaarak,अंगारक,अंगारक,True
angarak,अंगराक,अंगारक,False
angraji,अंग्राजी,अंग्रज़ी,False
angreji,अंग्रेजी,अंग्रज़ी,False
angrzi,अंगर्जी,अंग्रज़ी,False
antah,अंता,अंतः,False
antaha,अंताहा,अंतः,False
antarmukh,अंतर्मुख,अंतर्मुख,True
antmurkh,अंतमुर्ख,अंतर्मुख,False
antrmukh,अंतर्मुख,अंतर्मुख,True
andrabee,अंद्रबी,अंद्राबी,False
andrabi,अंद्रबी,अंद्राबी,False
andha,अंधा,अंधा,True
andhapan,अंधापन,अंधापन,True
andheri,अंधेरी,अंधेरी,True
ambaani,अंबानी,अंबानी,True
ambani,अंबानी,अंबानी,True
akram,अक्रम,अकरम,False
acapulco,एकापूलक,अकापुल्को,False
akapulko,अकापुलको,अकापुल्को,False
akhand,अखंड,अखंड,True
akhil,अखिल,अखिल,True
agavai,अगवाई,अगवाई,True
agvaai,अग्वाई,अगवाई,False
augustine,उगुस्टिन,अगस्टाइन,False
augustustine,अगुस्टस्टीन,अगस्टाइन,False
agsta,अगस्ता,अगस्ता,True
agusta,अगुस्ता,अगस्ता,False
augusta,औगुस्ता,अगस्ता,False
agr,अग्र,अग्र,True
agra,अग्रा,अग्र,False
achambha,अचांभा,अचंभा,False
achanbha,अचांभा,अचंभा,False
achievement,अचिवेमेंट,अचीवमेंट,False
achivement,अचिवेमेंट,अचीवमेंट,False
acchi,अच्छी,अच्छी,True
achchi,अच्छी,अच्छी,True
achhi,अची,अच्छी,False
achyut,अच्युत,अच्युत,True
achhanera,अछानेरा,अछनेरा,False
achnera,अचनेरा,अछनेरा,False
ajmeedh,अजमीद,अजमीढ़,False
ajhar,अझार,अजहर,False
azhar,अझार,अजहर,False
ajit,अजित,अजित,True
agnat,अग्तत,अज्ञात,False
agyaat,अग्ञात,अज्ञात,False
agyat,अग्ञत,अज्ञात,False
atakta,अतकता,अटकता,False
atkata,अतकता,अटकता,False
atake,अतके,अटके,False
atke,अटके,अटके,True
atwaal,अत्वाल,अटवाल,False
atwal,अत्वल,अटवाल,False
attahasa,अत्थहासा,अट्टहास,False
atthaas,अत्थास,अट्टहास,False
atthas,अत्थास,अट्टहास,False
addon,अद्डों,अड्डों,False
athak,अथक,अथक,True
atharv,अथर्व,अथर्व,True
atharva,अथर्वा,अथर्व,False
adad,अदाद,अदद,False
adaani,अदानी,अदाणी,False
adani,अदानी,अदाणी,False
advait,अद्वैत,अद्वैत,True
adwait,अद्वैत,अद्वैत,True
advaitvaad,अद्वितवाद,अद्वैतवाद,False
advaitwad,अद्वैत्वाद,अद्वैतवाद,False
adhivas,अधिवास,अधिवास,True
adhiwas,अधिवास,अधिवास,True
advivas,अद्विवास,अधिवास,False
adhiik,अधििक,अधीक,False
adhik,अधिक,अधीक,False
adhyayanarat,अध्यायारत,अध्ययनरत,False
adhyayanrat,अध्ययार्त,अध्ययनरत,False
adhyaynrat,अध्यायर्त,अध्ययनरत,False
anant,अनंत,अनंत,True
ananti,अनंती,अनंती,True
angadh,अंगढ़,अनगढ़,False
angarh,अंगरह,अनगढ़,False
anchahe,अंचाहे,अनचाहे,False
anthak,अंठक,अनथक,False
unthak,उंठक,अनथक,False
anhoni,अनहोनी,अनहोनी,True
anaavashyak,अनावश्यक,अनावश्यक,True
anavashyak,अनववश्यक,अनावश्यक,False
anavshyak,अनववश्यक,अनावश्यक,False
anawashyak,अनवाश्यक,अनावश्यक,False
anik,अनिक,अनिक,True
anishwarvadi,अनिश्ववादी,अनीश्वरवादी,False
anishwarwadi,अनिश्ववादी,अनीश्वरवादी,False
anukoltha,अनुकोल्थ,अनुकूलता,False
anukulata,अनुकुलता,अनुकूलता,False
anukulta,अनुकुलता,अनुकूलता,False
anuchit,अनुचित,अनुचित,True
anuprayogi,अनुपरयोगी,अनुप्रयोगों,False
anuprayogon,अनुप्योगों,अनुप्रयोगों,False
anupryogon,अनपप्योगों,अनुप्रयोगों,False
anureet,अनुरीत,अनुरीत,True
anurit,अनुरित,अनुरीत,False
anuthi,अनुठी,अनूठी,False
anudit,अनुदित,अनूदित,False
anyaay,अन्याय,अन्याय,True
anyay,अन्यय,अन्याय,False
anyaya,अन्यया,अन्याय,False
apnani,अपननी,अपनानी,False
aparivartanshali,अपरिवर्नशाली,अपरिवर्तनशील,False
aparivartansheel,अपरिवर्शनश,अपरिवर्तनशील,False
aparivartanshil,अपरिवर्नशिल,अपरिवर्तनशील,False
apariharya,अपरिहर्य,अपरिहार्य,False
aprihary,अप्रिहरी,अपरिहार्य,False
apriyary,अप्रियरी,अपरिहार्य,False
apavartit,अपवर्तित,अपवर्तित,True
apvartit,अप्वर्तित,अपवर्तित,False
apvtrit,अप्त्तित,अपवर्तित,False
apaardarshi,अपारदर्शी,अपारदर्शी,True
apardarshi,अपरदर्शी,अपारदर्शी,False
afroj,अफ्रोज,अफरोज,False
afroz,अफ्रोज,अफरोज,False
africa,अफ्रिका,अफ्रीका,False
abbaasi,अब्बासी,अब्बासी,True
abbasi,अब्बासी,अब्बासी,True
abhimat,अभिमतत,अभिमत,False
abhishap,अभिषाप,अभिशाप,False
abhi,अभी,अभी,True
amjhera,अमझेरा,अमझेरा,True
amzera,अमजेरा,अमझेरा,False
amargad,अमर्गद,अमरगढ़,False
amargarh,अमर्गर,अमरगढ़,False
amarpaal,अमर्पाल,अमरपाल,False
amarpal,अमरपाल,अमरपाल,True
amarohi,अमरोही,अमरोही,True
amrohi,अमृोही,अमरोही,False
amaanat,अमानत,अमानत,True
amanat,अमानत,अमानत,True
amanth,अमांठ,अमानत,False
amaanati,अमानती,अमानती,True
amanathi,अमानथी,अमानती,False
amanati,अमानती,अमानती,True
amavasya,अमावस्य,अमावस्या,False
amavsya,अमावस्य,अमावस्या,False
amit,अमित,अमित,True
amitao,अमिताओ,अमिताव,False
amitav,अमिताव,अमिताव,True
amuk,अमुक,अमुक,True
amogh,अमोग,अमोघ,False
ambani,अंबानी,अम्बानी,False
ayodhyaanaath,अयोध्याना,अयोध्यानाथ,False
ayodhyanaath,अयोध्यान,अयोध्यानाथ,False
ayodhyanath,अयोध्यान,अयोध्यानाथ,False
ayodhyeanath,अयोध्याना,अयोध्यानाथ,False
aradas,अरदास,अरदास,True
ardaas,अरदास,अरदास,True
ardas,अरदास,अरदास,True
arabab,अरबबबब,अरबाब,False
arbab,अरबबब,अरबाब,False
around,अरोंड,अराउंड,False
arjent,अर्जेंट,अर्जेंट,True
urgent,उर्गेंट,अर्जेंट,False
arth,अर्थ,अर्थ,True
artha,अर्था,अर्थ,False
earth,इर्थ,अर्थ,False
earthquake,इर्थ्कुक,अर्थक्वेक,False
arthon,अर्थों,अर्थों,True
arpit,अर्पित,अर्पित,True
aryama,अर्यमा,अर्यमा,True
aryma,अर्यमा,अर्यमा,True
arymaa,अर्यमा,अर्यमा,True
alankaar,अलंकार,अलंकार,True
alankar,अलांकर,अलंकार,False
alnkaar,अलंकार,अलंकार,True
alankaaron,अलंकारों,अलंकारों,True
alankaron,अलांकरों,अलंकारों,False
alnkaaron,अलंकारों,अलंकारों,True
alnkaron,अलंकरों,अलंकारों,False
alagavavadi,अलगगववादी,अलगाववादी,False
algavvadi,अल्गववादी,अलगाववादी,False
algavwaadi,अल्गववादी,अलगाववादी,False
alive,अलिवे,अलाइव,False
alance,अलांस,अलायंस,False
alayans,अलायांस,अलायंस,False
aliance,अलिएंस,अलायंस,False
alind,अलिंड,अलिंद,False
alai,अलाई,अली,False
ali,अली,अली,True
alii,अलीी,अली,False
alonso,अलोंस,अलोंसो,False
aloso,अलोस,अलोंसो,False
alphabet,अल्फाबेत,अल्फ़ाबेट,False
alba,अल्बा,अल्बा,True
avantipur,अवंतिपुर,अवंतिपुर,True
awantipora,अवंतिपोर,अवंतिपुर,False
avaru,अवरू,अवरु,False
avru,अवरू,अवरु,False
awaru,अवरू,अवरु,False
avarodhak,अवरोोधक,अवरोधक,False
avrodhak,अवरोधक,अवरोधक,True
avrodhk,अवरोधक,अवरोधक,True
avarnata,अवर्नता,अवर्णता,False
avarnataa,अवर्नता,अवर्णता,False
avranta,अवरंता,अवर्णता,False
avashist,अवशिस्त,अवशिष्ट,False
avshisht,अवशिष्त,अवशिष्ट,False
awashist,अवशिस्त,अवशिष्ट,False
avasthaayen,अवस्थाएं,अवस्थाएं,True
avsthaen,अवस्थाएं,अवस्थाएं,True
avsthayen,अवस्थाएं,अवस्थाएं,True
awasthaen,अवस्थाएं,अवस्थाएं,True
avi,अवी,अवि,False
avika,अविका,अविका,True
aviral,अविराल,अविरल,False
avirl,अविर्ल,अविरल,False
avishvaasniy,अविश्वासनीय,अविश्वसनीय,False
avishvasniy,अविश्वसनीय,अविश्वसनीय,True
avishvasniya,अविश्वसनीय,अविश्वसनीय,True
avisvasniya,अविस्वसनीय,अविश्वसनीय,False
aviva,अविवा,अवीवा,False
avaigyanic,अवैग्ञानिक,अवैज्ञानिक,False
avaigyanik,अवैग्ञानिक,अवैज्ञानिक,False
avegyanik,अवेज्ञानिक,अवैज्ञानिक,False
ashaktataa,अशक्तता,अशक्तता,True
ashktta,अष्क्ता,अशक्तता,False
asharaphi,अशररपी,अशरफी,False
ashrafi,अश्राफी,अशरफी,False
ashariri,अशारीरी,अशरीरी,False
ashriri,अश्रीरी,अशरीरी,False
ashrvatath,अश््वताथ,अश्वत्थ,False
ashvtth,अष्वत्थ,अश्वत्थ,False
asamaany,असमान्य,असमान्य,True
asamany,असमान्य,असमान्य,True
asmanye,अस्मान्य,असमान्य,False
asaamnjsy,असंमंज्य,असामंजस्य,False
asamanjasy,असममंजस्य,असामंजस्य,False
asamanjasya,असमंजास्य,असामंजस्य,False
asurakshit,असुरक्षित,असुरक्षित,True
asurkshit,असुरक्षित,असुरक्षित,True
aset,असेत,असेट,False
asset,असेसत,असेट,False
asvabhavik,अस्वभाविक,अस्वभाविक,True
aswabhavik,अस्वभाविक,अस्वभाविक,True
aswbhavik,अस्वभाविक,अस्वभाविक,True
ahirauli,अहिरौली,अहिरौली,True
item,इटेम,आइटम,False
items,इटेमस,आइटम्स,False
idle,इडलले,आइडल,False
idol,इडोल,आइडल,False
icc,आईस,आइसीसी,False
iso,इसो,आइसो,False
ipc,आईपी,आईपीसी,False
ipad,इपाद,आईपैड,False
iris,इरिस,आईरिस,False
ounce,ओंंस,आउंस,False
aakaash,आकाश,आकाश,True
aakash,आकाश,आकाश,True
aake,आके,आके,True
aakhet,आखेत,आखेट,False
akhet,अखेत,आखेट,False
aagat,आगतत,आगत,False
aagaman,आगमान,आगमन,False
aagman,आग्मान,आगमन,False
aagaa,आगा,आग़ा,False
aagah,आगाह,आग़ा,False
agha,अघा,आग़ा,False
aagaashe,आगाशे,आगाशे,True
aagashe,आगाशे,आगाशे,True
agashe,अगशे,आगाशे,False
aajmaanaa,आज्माना,आजमाना,False
aajmana,आज्माना,आजमाना,False
aazmaanaa,आज्माना,आजमाना,False
aata,आता,आटा,False
ata,अता,आटा,False
atta,अत्ता,आटा,False
aatmayen,आत्माएं,आत्माएं,True
atmaen,अत्माएं,आत्माएं,False
aadaan,आदान,आदान,True
aadan,आदान,आदान,True
aadhaarit,आधारितित,आधारित,False
aadharit,आधारित,आधारित,True
adharit,अधारित,आधारित,False
aadheen,आधीन,आधीन,True
aadhin,आधीन,आधीन,True
aadhunik,आधुनिक,आधुनिक,True
aanad,आनद,आनद,True
aanand,आनांड,आनद,False
anand,अनंंड,आनद,False
aapka,आपका,आपका,True
aapkaa,आपका,आपका,True
aapadaaaen,आपदााएं,आपदाएं,False
aapdaein,आपड़ाएं,आपदाएं,False
aapdayein,आपददाएं,आपदाएं,False
aabantit,आबंतित,आबंटित,False
abantit,अबंतित,आबंटित,False
aabru,आब्रू,आबरू,False
abaru,अबारू,आबरू,False
aamdan,आमदान,आमदन,False
amadan,अमदान,आमदन,False
aamdani,आमदानी,आमदनी,False
amadani,अमददनी,आमदनी,False
aamdi,आमदी,आमदी,True
amdi,अमदी,आमदी,False
aamod,आमोड,आमोद,False
amod,अमोड,आमोद,False
aayenge,आयेंगे,आयेंगे,True
aayojak,आयोजकक,आयोजक,False
ro,रो,आरओ,False
rp,र्प,आरपी,False
aaraam,आराम,आराम,True
aaram,आरमम,आराम,False
aram,अरमम,आराम,False
aarushi,आरुशी,आरुषि,False
arushi,अरुशी,आरुषि,False
artery,आर्टरी,आर्टरी,True
order,ऑर्डर,आर्डर,False
aary,आरी,आर्य,False
aarya,आर्या,आर्य,False
arya,अर्या,आर्य,False
aaryika,आर्यिका,आर्यिका,True
aryika,अर्यिका,आर्यिका,False
aarya,आर्या,आर्यो,False
arya,अर्या,आर्यो,False
aryo,अर्यो,आर्यो,False
aaryan,आर्यान,आर्यों,False
arya,अर्या,आर्यों,False
aryon,अर्यों,आर्यों,False
aalsi,आलसी,आलसी,True
alasi,अलासी,आलसी,False
aalochak,आलोचक,आलोचक,True
alochak,अलोचक,आलोचक,False
aalochakon,आलोचकों,आलोचकों,True
alochakon,अलोचकों,आलोचकों,False
aalha,आलहा,आल्हा,False
aalhaa,आलहा,आल्हा,False
alha,अलहा,आल्हा,False
allah,अल्लाह,आल्हा,False
aawaazen,आवाजें,आवाज़ें,False
aawajen,आवजजें,आवाज़ें,False
awaazen,अवाजें,आवाज़ें,False
awazen,अवजजें,आवाज़ें,False
aawajon,आवाजों,आवाज़ों,False
aawazon,आवाजों,आवाज़ों,False
awaazon,अवाजों,आवाज़ों,False
awazon,अवजजों,आवाज़ों,False
aavishakaar,आविशाकार,आविष्कार,False
aavishkaar,आविश्कार,आविष्कार,False
avishkar,अविश्कार,आविष्कार,False
aavriti,आवृतति,आवृत्ति,False
aavritti,आवृततति,आवृत्ति,False
avuti,अवूती,आवृत्ति,False
aavritiyon,आवृततियों,आवृत्तियों,False
aavrittiyon,आवृतततियों,आवृत्तियों,False
avrutiyon,अवृतियों,आवृत्तियों,False
aashanka,आशंका,आशंका,True
ashanka,अशंका,आशंका,False
aashriton,आश्रितों,आश्रितों,True
ashriton,अश्रितों,आश्रितों,False
aasaan,आसान,आसान,True
aasan,आसन,आसान,False
asan,असन,आसान,False
aastik,आस्तिक,आस्तिक,True
astik,अस्तिक,आस्तिक,False
aasteen,आस्तीन,आस्तीन,True
aastin,आस्तिन,आस्तीन,False
astin,अस्तिन,आस्तीन,False
aahnaan,आहनान,आह्नान,False
aahnan,आहनन,आह्नान,False
ahyan,अह्यान,आह्नान,False
england,एंगलंड,इंग्लैंड,False
engineer,एंगिनीर,इंजिनियर,False
introduction,इंट्रोडक्न,इंट्रोडक्शन,False
insurance,इंसूरंस,इंश्योरेंस,False
ear,एर,इअर,False
eyer,एयर,इअर,False
eon,एों,इआन,False
iaan,इान,इआन,False
ekattha,एकत्था,इकट्ठा,False
ikattha,इकात्था,इकट्ठा,False
ekatthi,एकत्थी,इकठ्ठी,False
ekthi,एक्थी,इकठ्ठी,False
ikatthi,इकात्थी,इकठ्ठी,False
ekaee,एकाई,इकाई,False
ikai,इकाई,इकाई,True
ekaeyon,एकाएयों,इकाईयों,False
ikaiyon,इकाइयों,इकाईयों,False
ikarion,इकारियों,इकाईयों,False
economic,एकोनोमिक,इकोनोमिक,False
ecuador,एकुडडडर,इक्वाडोर,False
equador,एकुददोर,इक्वाडोर,False
equities,एकुटितिस,इक्विटीज,False
ikvitija,इक्वितिजा,इक्विटीज,False
ijaajat,इजाजात,इजाजत,False
ijajat,इजाजतत,इजाजत,False
inhalation,इनहालतिन,इनहेलेशन,False
inhaletion,इंहलेटिन,इनहेलेशन,False
ibija,इबिजा,इबीजा,False
ibiza,इबिइजा,इबीजा,False
imaging,इमागिंग,इमेजिंग,False
immune,इममून,इम्युन,False
elaichi,एलाइची,इलाइची,False
ilaichi,इलाईची,इलाइची,False
ilayachi,इलायाची,इलाइची,False
ilayichi,इलायिची,इलाइची,False
elaaj,एलाज,इलाज,False
ilaaj,इलाज,इलाज,True
ilaj,इलाज,इलाज,True
ishaak,इशाक,इशाक,True
ishaaq,इशाक,इशाक,True
ishak,इशाक,इशाक,True
ishaara,इशारा,इशारा,True
ishaaraa,इशारा,इशारा,True
ishara,इशारा,इशारा,True
ishita,इशिता,इशिता,True
isht,इष्ट,इष्ट,True
isteefe,इस्टीफ,इस्तीफे,False
istife,इस्टीफ,इस्तीफे,False
ea,ईए,ईए,True
ia,आई,ईए,False
eater,एटेर,ईटर,False
iter,इटर,ईटर,False
email,एमैल,ईमेल,False
emailon,एमैलों,ईमेलों,False
emelon,एमेलों,ईमेलों,False
evening,एवेंिंग,ईवनिंग,False
east,एस्ट,ईष्ट,False
ishat,इषात,ईष्ट,False
isht,इष्ट,ईष्ट,False
isaaiyon,इसाइयों,ईसाइयों,False
isaiyon,इसैयों,ईसाइयों,False
isayiyon,इसायियों,ईसाइयों,False
ikhrul,इख्रुल,उखरुल,False
ukhrool,उख्रूल,उखरुल,False
ukhrul,उख्रुल,उखरुल,False
uchhalane,उछछलने,उछालने,False
uchhalne,उछछलने,उछालने,False
ujback,उज्बाक,उज़्बेक,False
uzbek,उजबबेक,उज़्बेक,False
uthane,उठाने,उठने,False
uthne,उठने,उठने,True
uthaakar,उठाकार,उठाकर,False
uthakar,उठकार,उठाकर,False
uthaapatak,उठापततक,उठापटक,False
uthapatak,उठापतक,उठापटक,False
uthen,उठें,उठें,True
udaan,उदान,उड़ान,False
udan,उदान,उड़ान,False
udaanaa,उदाना,उड़ाना,False
udana,उदाना,उड़ाना,False
udaane,उदाने,उड़ाने,False
udane,उदाने,उड़ाने,False
udaanen,उदानें,उड़ानें,False
udanen,उदानें,उड़ानें,False
udaanon,उदानों,उड़ानों,False
udanon,उदानों,उड़ानों,False
utane,उताने,उतने,False
utaney,उताने,उतने,False
utne,उतने,उतने,True
uttara,उत्तार,उत्तरा,False
uttra,उत्त्र,उत्तरा,False
utpan,उत्पन,उत्पन,True
udant,उदांत,उदंत,False
udghosh,उद्घोष,उदघोष,False
udar,उदार,उदर,False
uda,उदा,उदा,True
udaa,उदा,उदा,True
udakishuganj,उदाकिषुगंज,उदाकिशुनगंज,False
udakishunganj,उदाकिषुंगं,उदाकिशुनगंज,False
unatees,उनातीस,उनतीस,False
untees,उंटीस,उनतीस,False
uniyal,उनियाल,उनियाल,True
upadraviyon,उपद्रवियों,उपद्रवियों,True
updravion,उपद्रवियों,उपद्रवियों,True
updraviyon,उपद्रवियों,उपद्रवियों,True
upadravi,उपदद्वी,उपद्रवी,False
updravi,उपद्रवी,उपद्रवी,True
upadrawon,उपद्रवों,उपद्रवों,True
updravon,उपद्रवों,उपद्रवों,True
upneta,उपनेता,उपनेता,True
upabhokta,उपभोक्ता,उपभोक्ता,True
upbhokta,उपभोकता,उपभोक्ता,False
uplaksh,उप्लक्ष,उपलक्ष्य,False
uplakshay,उप्लक्षय,उपलक्ष्य,False
uplakshya,उप्लक्ष्य,उपलक्ष्य,False
uplabdh,उप्लब्ध,उपलब्ध,False
uplabdhiyon,उप्लब्धियों,उपलब्धियों,False
uplabdhi,उप्लब्धी,उपलब्धी,False
upakhyaanon,उपख्यानों,उपाख्यानों,False
upakhyanon,उपख्यानों,उपाख्यानों,False
ubuntu,उबुंतु,उबंटू,False
ubaal,उबाल,उबाल,True
ubal,उबाल,उबाल,True
ubhaara,उभारा,उभारा,True
ubhara,उभारा,उभारा,True
umanath,उमानाठ,उमानाथ,False
umesh,उमेश,उमेश,True
urf,उर्फ,उर्फ,True
urfa,उर्फा,उर्फ,False
urff,उर्फफ,उर्फ,False
urvarakon,उर्वरकों,उर्वरकों,True
urvarkon,उर्वर्कों,उर्वरकों,False
urwarakon,उर्वरकों,उर्वरकों,True
urvarata,उर्वराता,उर्वरता,False
urvarta,उर्वर्ता,उर्वरता,False
urwarta,उर्वर्ता,उर्वरता,False
ulate,उलाते,उलटे,False
ulte,उल्टे,उलटे,False
ulahana,उलाहना,उलाहना,True
ulahna,उलाहना,उलाहना,True
ulema,उलेमम,उलेमा,False
ulemaon,उलेलमाओं,उलेमाओं,False
usak,उसक,उसक,True
usaki,उसकी,उसकी,True
uski,उसकी,उसकी,True
usmein,उस्में,उसमें,False
usmen,उसमें,उसमें,True
usi,उसी,उसी,True
ustara,उस्तार,उस्तरा,False
udharv,उधधर्व,ऊर्ध्व,False
udhrva,उध््वा,ऊर्ध्व,False
urdhav,उर्धाव,ऊर्ध्व,False
ushma,उष्मा,ऊष्मा,False
rishicool,रिशिकूल,ऋषिकुल,False
rishikul,रिशिकुल,ऋषिकुल,False
rushikul,रुशिकुल,ऋषिकुल,False
enzyme,एंज्यम,एंजाइम,False
anton,अंतों,एंटोन,False
entone,एंटनन,एंटोन,False
antoni,अंतोनी,एंटोनी,False
antony,अंटों,एंटोनी,False
endometrial,एंडोमेटरिल,एंडोमेट्रियल,False
andreas,अंद्रेस,एंड्रियास,False
als,अल्स,एएलएस,False
asi,असी,एएसआई,False
eksaath,एक्साठ,एकसाथ,False
eksath,एक्सठ,एकसाथ,False
ekaki,एकाकी,एकाकी,True
xm,क्म,एक्सएम,False
egmor,एगमोर,एगमोर,True
egmore,एग्मोर,एगमोर,False
aj,अज,एजे,False
agende,एगेंडे,एजेंडे,False
adp,एडप,एडीपी,False
adain,अदाएं,एडेन,False
aden,अदें,एडेन,False
edan,एड़न,एडेन,False
addi,अद्दी,एड्डी,False
eddi,एद्दी,एड्डी,False
eddie,एद्दी,एड्डी,False
eddy,एड्डी,एड्डी,True
apj,अपज,एपीजे,False
ftii,फ्टी,एफटीआईआई,False
abbott,अब्बोतत,एबट,False
abut,अबूत,एबट,False
ebt,एब्ट,एबट,False
abvp,अब्वप,एबीवीपी,False
abbot,अब्बोत,एबोट,False
abbott,अब्बोतत,एबोट,False
mta,ममता,एमटीए,False
mtake,मतके,एमटेक,False
mtec,मेटक,एमटेक,False
mtech,मटेच,एमटेक,False
emerald,एमररल्द,एमरल्ड,False
emrald,एमरालद,एमरल्ड,False
emil,एमिल,एमिल,True
emile,एमिले,एमिल,False
emily,एमिली,एमिल,False
amy,अमी,एमी,False
emi,एमी,एमी,True
airway,अैरवाय,एयरवे,False
eyarave,एयररवे,एयरवे,False
eyarve,एयर्वे,एयरवे,False
error,एररर,एरर,False
arica,अरिका,एरिका,False
erica,एरिका,एरिका,True
erika,एरिका,एरिका,True
aerobic,एयोोबिक,एरोबिक,False
aerobics,एरोोबिक,एरोबिक,False
lte,ल्टे,एलटीई,False
lti,ल्टी,एलटीई,False
allergic,अल्लर्गिक,एलर्जिक,False
eliminator,एलिमिनाटर,एलिमिनेटर,False
aliens,अलिइंस,एलियंस,False
alliance,अल्लिंस,एलियंस,False
asian,असियन,एशियन,False
sfc,सीसीस,एसएफसी,False
sk,स्क,एसके,False
spf,स्प,एसपीएफ,False
association,अससोसिटिन,एसोसिएशन,False
astar,अस्तर,एस्टर,False
aster,अस्टर,एस्टर,False
ester,एस्टर,एस्टर,True
aesthetics,एस्थेटिक्स,एस्थेटिक,False
asthetic,अस्थेटिक,एस्थेटिक,False
asfalt,अस्फल्ट,एस्फाल्ट,False
asphalt,अस्पालत,एस्फाल्ट,False
asphault,अस्फौलत,एस्फाल्ट,False
ahsaas,अहसास,एहसास,False
ehsaas,हहसास,एहसास,False
ehsas,हहसस,एहसास,False
aisa,एसा,एेसा,False
eesa,एसा,एेसा,False
ainth,एंठ,ऐंठ,False
end,एंड,ऐंठ,False
enth,एंठ,ऐंठ,False
ainthey,अैंठे,ऐंठे,False
enthe,एंठे,ऐंठे,False
aithan,अथठन,ऐठन,False
ethan,इथान,ऐठन,False
ethhan,इथान,ऐठन,False
ail,एल,ऐल,False
el,एल,ऐल,False
